Redes Privativas | Turma 1 
quinta, 24/04/2025

0:17 - Palestrante Não Identificado Vocês estão vendo?
41:50 - Loreno Aqui é só o conceito abstrato. O conceito abstrato primeiro, para depois vocês usarem esses conceitos. E quando a gente for conversar melhor sobre isso. Na verdade, não foi em vão que eu montei esses slides, porque já que você está com esse tipo de dúvida, eu acho que ela pode ser natural entre mais pessoas ainda. O que eu queria falar está escrito aqui com mais propriedade, de uma forma mais rigorosa. A cooperação entre entidades Z é regida por um ou mais protocolos N. Isso é importante. Não precisa ter um protocolo N só. Mesmo entre duas entidades pode ter um protocolo IP e depois um protocolo TCP. Aí seria a camada 4. Mas pode ter um protocolo de roteamento e um protocolo IP, por exemplo. Na mesma camada. A gente vai ver isso. Então pode ter mais do que um protocolo na mesma camada. É claro que ele é identificado. Depois, a troca de informações entre duas ou mais entidades é realizada através de uma associação, utilizando o protocolo N. Uma conexão N entre entidades, N mais um, é uma associação entre essas entidades para troca de dados. Deixa eu ver se tem mais alguma coisa aqui. Uma entidade N pode exportar um ou mais protocolos N. A extrema de conexão, acho que tudo já comentamos. Mas aqui é colocado de uma forma mais formal. E aqui que eu queria me demorar um pouquinho também. Então, qual que é a ideia? Existe uma entidade chamada Protocol Data Unit. Essa protocolo Data Unit é o que a outra extremidade vai ser vista. Ela passa para a camada seguinte como uma Service Data Unit. Está errado aqui. Mas eu vou corrigir. Não é Servile, é Service, tá bom? Pode dar outra correção aí, depois eu vou corrigir. E ela agrega uma parte Protocol Containformation. O que é essa Protocol Containformation? Por exemplo, número de sequência da PDU, checksum para correção de erros, qualidade de serviço que você quer. Então vai ter uma série de, em exigida, digamos, vai ter uma série de parâmetros que são colocados como informação de controle protocolo. Além da informação da unidade de dados protocolo propriamente dito, que é gerado na aplicação. Então esse esquema aqui é um esquema que eu acho que é bem interessante porque a gente tem que ter sempre ele em mente. Bom, agora sem mais delongas eu vou passar o modelo das sete camadas aqui. As sete camadas tem um nome, tem um número e tem uma função principal. Não é a única função. Depois a gente vai ver, por exemplo, a correção de camada dois. Todas as camadas têm muito mais funções que isso. A função da camada um é a mera transmissão de dados. Geralmente é um dispositivo menos inteligente. A inteligência começa na camada de enlace, que é a camada dois, que faz a correção de erros. Ela não faz só a correção de erros, ela faz a delimitação dos quadros, ela faz a incorporação de elementos para permitir essa delimitação, o tratamento de falhas, ela executa uma série de funções. Mas a principal função é o erro de transmissão. Então você transmitiu, quer saber se o conjunto de bits que chegou na outra extremidade chegou com erro ou sem erro. Então você acrescenta se acrescenta uma informação de checksum, que eles chamam de frame checks sequence, e aí essa é utilizada para verificar se na outra ponta bate a informação enviada com a informação recebida. E a camada de rede é a camada que diz respeito ao endereçamento, basicamente, ou roteamento também. A camada de transporte é a correção de erros fim a fim. Ele estabeleceu uma conexão passando por vários nós e ele quer saber se o pacote chegou no final corrigido ou não. A camada de sessão é a que contém os procedimentos de diálogo. Ou seja, você por enquanto não deu um olá pro cara, nem falou bom dia, nem falou que vai ter uma conversa. Tem que ter um procedimento para iniciar o diálogo. Essa é a camada de sessão. E a camada de apresentação é a sintaxe dos dados. Ela verifica se a sintaxe está correta. E a camada de aplicação é a semântica, o significado. Aquela história que a gente comentou. O cara falou quanto é o ceno de 30 graus. Aqui está o conteúdo. Ele vai codificar isso. Segundo uma sintaxe. A sintaxe tem a ver com isso aqui, tem a ver com esses formatos da Service Data and Origin e da Protocol Content Information. E a seguir tem esses dados adicionais. Bom, o que eu ia comentar com vocês? Essa O principal é a gente, quando precisar, esclarecer funções adicionais. Geralmente, quando o modelo OSDL é usado com retransmissores, você pode ter esses tipos de retransmissores aqui. Geralmente na camada 3 você pode ter um retransmissor. Alguém que recebe e fala que não é para ele a conexão. Meu vizinho aqui, endereça a conexão. Observe aqui que os meios de comunicação não estão integrados agora, eles estão separados. É justamente por isso que tem necessidade de um retransmissor. Essa ponta de origem aqui não consegue mandar um dado para o destino e vice-versa se não utilizar um retransmissor, por exemplo. E pode ter transmissor também na camada 1. E o transmissor que é esse na camada 1? É um conector de circuitos. Por exemplo, imagina que você tem uma ponte, ou então, por exemplo, um acoplador. Imagina que você tem uma parte da comunicação infraótica, a outra parte é com o sistema de fiação. Então você tem que ter um conector. Para ligar isso aí. Então existe também esse conceito de retransmissões. Agora vamos tentar ver um pouquinho mais detalhe a questão de como é que você aplica esse modelo da OSE, por exemplo, para o modelo IEEE que eles chamam, esse padrão IEEE 802. Então repara que o O modelo do ITPOE não diz respeito a aplicação, apresentação, sessão, transporte, não diz respeito a nada. Ele só diz respeito ao controle do enlace e ao meio físico. Então, no meio físico, o que acontece é um endereço MAC, que é o Medium Access Control. Toda máquina, vocês sabem disso, toda máquina vem de fábrica com endereço MAC ou com um endereço similar ao MAC, o endereço do hardware em si, né? E aí, com base nesse endereço, a comunicação é acabada, a internet acrescenta uma chamada, que estamos de logical link control, de procedimentos, e aí está pronto para a roda da internet. Só que existe vários padrões, né? Existe o padrão 802.3, que é a Aí depois teve os outros padrões, 3A, 3C, e aí tem os outros padrões. O mesmo padrão de marca e procedimentos é usado para a Ethernet e para todos outros protocolos aqui. TokenBus, TokenLink, DQDB. Ou customizações, claro. Bom, ou a cabana 2, por exemplo, que eu tinha comentado com vocês, né? Eu tinha falado que o principal da cabana 2 era correção de erros. Bom, aqui tem outras coisas. Tem a prestação de serviço para a cabana 3, a terminação de quadros, o controle de Se tiver muita PDU passando, como é que você faz para segurar isso? Então você precisa ter um controle de fluxo. O controle de acesso, que geralmente é um sistema de janelamento. O controle de acesso, se o meio não for dedicado. E a interface com uma camada física. Em particular na internet, o meio é não dedicado. Vários hosts, vários PCs, desfrutam uma mesma internet. Então, você tem que ter um controle de acesso. Ok?

52:14 - Loreno Professor, só uma dúvida.

52:16 - Ícaro De Oliveira Castro Costa Essa quantidade de pacote é medida pelo MTU? Geralmente, quando a gente faz aquela utilização do config, o terminal para verificar Seria isso mais ou menos?

52:32 - Loreno Eu estava falando de uma maneira mais genérica aqui. Eu estava falando que toda camada de enlace pode ter um sistema de supervisão de fluxo e controle de fluxo. Então varia muito, entendeu? Uma solução que existe, por exemplo, no HDLC, é começar a mandar flag consecutivos. E aí você não manda informação. No caso da... Da internet, eu não tenho... Não lembro bem qual era a solução que é dada, mas acho que tem a ver com isso que você falou, com MTO. Ok? Ok, professor. Obrigado. Bom, como é que é o quadro da internet? Aqui eu vou fazer uma... Tá animada, né? O quadro da internet é essa figurinha que nós vamos ver aqui. Então é assim, tem o preâmbulo, que é uma sequência de 0 e 6 1, e aí vem um bit adicional, que é decisivo, seria 1 ou não. Depois tem o endereço de origem, essas duas vagas aqui, e vem os dados. Essa vaga mostra tamanho do campo de dados. Então ela vai dizer, olha, meu campo de dados é 46 bytes ou 1.500 bytes. Então é o tamanho que vai ser especificado aí. E o padding é um enchimento. Se você começar, como é obrigatório a ter, digamos, imagina que você tenha, digamos, do 46 a 1.500. Então você coloca o preenchimento que eu pedi, que complementa os bytes adicionais. E tem um frame check sequence, que no caso são 4 bytes. Isso significa que é um polinômio da ordem de 32. Então x, o código polinomial aplicado é da ordem 32. O preâmbulo, aí se vê a 1, depois especifica que vai se iniciar um quadro. Os endereços MAC, é bom comentar, eles são nessa forma aqui. São números hexadecimais. E nessa forma aqui, 00, 1A, 2B, 3C, 4D, 5E. Esses dois hexadecimais são atropelos de fábrica.

55:31 - Palestrante Não Identificado O Padding se aplica em quadros menores que 4 bytes.

55:39 - Loreno Eu ia colocar umas transparências explicando o Frame Check Sequence, Primeiro não sei se é muito importante isso, mas o que faz esse Frame Check Sequence? Ele considera os bits recebidos, desde o endereço de destino até o padding, ele considera como se fosse um polinômio. E aí ele divide por um polinômio de ordem 32. Então x na 31 até x na 0. E aí o resto dessas divisão, a grosso modo, tá? O resto dessa divisão tem que estar embutido nesse campo FCF. Se bater esse resto, a mensagem passa. Se não bater, tem erro de transmissão. Bom, qual é o procedimento básico de uma instalação Ethernet? A instalação contrativa fica verificando no meio está livre ou não, o tempo todo. Se o meio estiver livre, inicie a transmissão. Se houver uma colisão, ou seja, alguém iniciou uma transmissão simultaneamente, termina a transmissão, faz um reforço de tempo de colisão, incrementa o contador, dá um atraso e volta para a nova iniciação. A grosso modo é isso. O procedimento é muito mais complicado que Mas acho que aqui, para efeito do curso, acho que ele é suficiente. Bom, vamos falar um pouquinho do protocolo IP. Então o protocolo IP é um protocolo de rede. Ele foi, se vocês pegarem a origem, é internet. Protocolo, né? Então, internet é entre redes. Então é um protocolo que é necessariamente entre redes. Então elas são necessárias quando elas não têm meios físicos comuns, não são servidos pela mesma rede física. Então é tipo assim, você tem, digamos, da rede da Unicamp para a rede da FIAP, mesmo que você fizesse uma rede única, corporativa, você não vai ter um único circuito que tenha esse comprimento. Então você tem um circuito que vai até um pedaço e depois um outro que vai até outro pedaço. Então esse é o conceito aí. Se você tivesse um circuito único, você não precisaria de ter um protocolo IP, mas não é o caso. E também foi construído de forma a utilizar esse conceito da modelose. Tornou-se um padrão universal. Enquanto a internet é um padrão quase universal, esse aqui é realmente um padrão universal. Vou voltar um pouco na origem da concepção do IP, que é a ARPANET. Foi um projeto de uma agência de segurança da Marinha, Departamento de Defesa dos Estados Unidos, no final da década de 60. E aí a ideia da internet foi colocar em contato, Darpanet foi colocar os centros de, as bases de dados, melhor falando, de Stanford, Utah, Universidade da Califórnia, Santa Barbara. Esses três aqui são na Califórnia. Esse outro aqui é no estado do Utah. E aí o sistema O programa que eles bolaram era um processador chamado IMP, que é o Interface Message Processing. Nesse processador, você liga os hosts, a base de dados, liga toda a LAN de Stanford nele e toda a LAN da Ookla nele. Com isso, você consegue conversar com a diversas, você consegue, de uma universidade, fazer pesquisas, perguntar quanto é o 130 graus para outra universidade. Foi essa a ideia. E foi uma abolação muito simples. Inicialmente era a 56 quilobits. Mas claro que a velocidade depois se ampliou muito. E usaram um protocolo, que eles chamaram de network control protocolo, e que se deu origem ao protocolo IP. Aí eu anexei, eu acho que eu nem vou mostrar para vocês agora, mas eu anexei no final a foto do IP, para vocês terem uma ideia da velharia. Tem colega meu que chegou a conhecer isso aí, eu não tive essa felicidade. Mas a gente pode ver depois, no final da aula, se dá tempo. Bom, aqui é o desenho, tá? Parece que foi feito por um tal de Kleinrock, Leonardo Kleinrock. Aqui mostrando o desenho, a mão mesmo, e depois no que se transformou o desenho. Só pra curiosidade. Bom, qual é a concepção de arquitetura para sempre? A concepção é muito simples. Você vai ter uma aplicação, vai ter uma camada de transporte que vai, de uma universidade a outra e pode ter um ou mais routers no início, no meio aí. São esses processadores IMP, eram, né? E aí você precisa de uma camada interredes aqui, ou seja, que é a camada internet. Então essa que foi a coisa aí. E aí, por exemplo, você podia ter uma rede LAN, digamos, em uma rede física, você podia ter no router uma rede direta conectando os routers FC, provavelmente você tinha um circuito dedicado, e você pode ter lá no destino uma outra rede, uma rede Ethernet, por exemplo. Independe da LAN que você tem. Então ele permitiu a comunicação entre elas. Alguma dúvida aí?

1:02:13 - Palestrante Não Identificado Perfeito, professor.

1:02:14 - Loreno Tranquilo.

1:02:15 - Loreno Estamos acompanhando.

1:02:16 - Loreno Aqui também eu não pretendo entrar em detalhes, mas só para mostrar uma parte do iceberg. O que interessa para a gente na internet são essas camadas aqui. Rede, que tem no internet, e tem esse protocolo resolução de endereços também, e interessa também o TCP e IP. Ou o UDP, se for o caso de não usar uma verificação de erros fim a fim. E aí assim, tem aplicações que estão baseadas no TCP e tem aplicações que estão baseadas no UDP. Por exemplo, a aplicação de voz está baseada no UDP. Para não perder tempo, para ser uma coisa bem breve, tá? Mas não só ela, também o DNS, que a gente vai ver mais pra frente, o que é o protocolo de meio, desculpe, de gerência, ou transferência de arquivos também, dependendo do caso, tá? Então esse aqui é o textura básica, como é que é usado. E aí repara que pode ser usado, que o IP não especifica qual é a camada de enlace e camada física. Pode ser usado qualquer camada. Internet, Token Ring, Wi-Fi, WiMAX. Qualquer coisa pode ser usada aí. Então essa aqui é a filosofia do protocolo IP. Que a Filosofia é bastante inteligente, né? Bom, aqui vou passar rapidinho. O pacote P costuma ser apresentado nesse formato aí, conjunto de 32 bits. Por que 32 bits? Porque o endereço de origem, o endereço de destino tem 32 bits. Então ele tem um cabeçalho fixo, que são 20 bytes, Cada endereço aqui é 32 bits, são 4 bytes. Então tem mais 3 aqui. Então ele tem algumas especificações aqui, o comprimento total dele, o tipo de serviço, a versão, IHL, os flags, a numeração. Se tiver fragmentos, por exemplo, se você resolveu parcelar ou dividir o pacote, o pacote é muito grande para caber na rede do destino. Você divide em pacotes menores, então ele vai dar a numeração. Aqui só para dar uma ideia rápida, o cabeçalho de P, essa version aqui é a versão. Essa IHL é a Intermediate Header Length, informa o tamanho do cabeçalho, em palavras de 32 bits. O tamanho mínimo é 5, Então dá um total de 60 bytes. E aí vem o tipo de serviço. O tipo de serviço é colocado para haver uma triagem da prioridade que o pacote vai ter. A nível de camada 3, tá? A camada da internet também vai ter isso. Então cada camada pode ter a sua ordem, a sua classe de serviço chamada, né? A gente vai ver um pouquinho depois disso. E aí você pode ter informações que você tem de retardo, throughput e da confiabilidade. Esse campo de type of service, ele passou a ser utilizado desde 98 para falar de serviços serviços diferenciados são serviços com classes especiais. É o que existe hoje. O comprimento total de um pacote desses é 65.556 partes. Por que isso? Só ver aqui. Dá para identificar justamente porque são 16 bits. Com 16 bits você consegue endereçar 2 na 16. 2 na 16 é 2 na décima vezes 2 na quarta. 2 na décima é 1024. 2 na quarta é 16. 316 vezes 1024 dá 65 mil. Que mais? Aqui a numeração desse fragmento offset, a numeração dos fragmentos, ele tem o contador de tempo que o pacote está na rede, vivo, né? Ele tem um contador de protocolo, tem um checksum no cabeçalho e tem os endereços de organista. Repara que todo o protocolo tem esse formato. A gente viu antes lá o protocolo da internet, então ele tem essa questão do checksum, a informação do protocolo, os cumprimentos e as informações necessárias. Bom, aqui são só duas explicaçõezinhas eu acho que não sei se você tem essa explicação, com o sistema móvel a gente vai precisar muito do DHCP, é o Dynamic Host Configuration Protocol, é a alternativa de configuração dos IPs. E aí é dinâmico esse endereço. É justamente onde você armazena a resolução do endereço. Então, por exemplo, você tem lá o nome arroba FIAP alguma coisa. Onde você traduz o arroba FIAP para um endereço IP é justamente o DNS. Acho que isso aí é informação que você já conhece. Vou falar um pouquinho de internet das coisas agora, só para nivelar a informação, tá? Segundo o ITU, É uma infraestrutura global, para a sociedade de formação, permitindo que as coisas se conectem. Então a coisa aqui é muito simples. Imagina que uma rodovia está impedida, ou que caia uma torre em cima de uma rua, ou de uma avenida. Então é proibido o trânsito. Então a ideia das coisas é avisar. Aqui eu coloquei um automóvel, mas obviamente que esse aviso seria para a própria internet, dizendo que a passagem tal está interditada. Aí o automóvel que está se dirigindo a essa rodovia vai entender e vai começar a voltar. E obviamente que entre os automóveis pode ter também uma rede que eles chamam de rede adobe. É a rede que depende, digamos, o acesso à internet. O modelo para IoT que a gente vai usar é esse aqui. As coisas, por exemplo, o automóvel, elas se ligam a objetos, por exemplo, uma base de dados que tem a proibição ou não de uma rodovia, que por sua vez se liga a uma nuvem, que aí pode ser vários protocolos possíveis, tá? E aqui, praticamente, a rede fixa pode se interligar ao Gateway, que tem vários protocolos, como a Ruby também. Tipo a Ethernet, DSL, que seria a DSL, por exemplo, TCP, etc. E aqui, da mesma forma, tem vários protocolos. Um deles é o Narrowband IoT, outro o SIGFORM, outro chamado Lora, outro chamado LTE, que nós vimos ontem que era Long Term Evolution, que é o do 4G, existe a categoria M, o próprio 5G, então existem várias formas de se comunicar. Esse é o modelo básico aí. Aqui só uma pitada como é que está a cobertura no Brasil e como é que é dar cobertura no mundo aí. Então, por exemplo, o SICFOX não requer licenciamento. Laguna de banda é 100 mega, taxa de dados é 100 bits por segundo, que é pequeno, né? E em compensação a bateria dura 20 anos, que é desejável para todo mundo. Então, por exemplo, se você for enterrar numa fazenda, um sensor de você vai botar esse protocolo aí, vai colocar lá, ou tem umidade ou não tem. Nos próximos 20 anos você não vai se preocupar com ele, vai enterrar vários ali, depois você vai... E ele vai utilizar eles no acesso que eles vão ter, prestando as informações devidas de umidade da região. E tem uma cobertura grande ainda por cima, né? Já, por exemplo, Vamos pegar um exemplo aqui, o Narrowband IoT. O Narrowband IoT tem uma faixa de 200 kg, que é bem superior, permite uma taxa de dados de 20 km por segundo, e dura metade, 10 anos. E, com apreciação, o raio de cobertura dele é na ordem de 20 km. Então, cada um deles, você tem que escolher Isso aqui é a empresa que vai estar fazendo o serviço, ela vai estar escolhendo os sensores e os equipamentos que vão ir ao IoT de acordo com esses critérios aí. Pode ser que o fabricante recomende também, mas obviamente que ela vai ter que escolher de acordo com o tempo que ela espera, a quantidade de informação que ela espera passar, certo? O fato de ser necessário. O licenciamento ou não. Tudo isso é parâmetro aí. E aí para mostrar a cobertura das tecnologias do Brasil, tá? A Nairobé-Nayoti, ela já está com 5.498, que é a grande maioria dos municípios. O Brasil tem um total Quando eu comecei a estudar, tinha esse número aqui, 5.490 por aí. Essa Long Term Evolution, categoria M, ela tá atingindo menos municípios, 4.000 e pouquinho, ou seja, 97%, 98 praticamente. E a Lora tá atingindo apenas 250. 86 municípios, que corresponde a 51% da população. Significa que ela está atendendo municípios que, se você pegar aqui no Brasil, se você pegar 50 cidades mais populosas, elas representam provavelmente 90% da população. Significa que esses municípios aqui provavelmente não são os municípios mais populosos. Que provavelmente não, porque justamente a implantação é mais no interior. Ok? Agora vamos voltar às redes privativas. Então repara que eu voltei com o meu carimbo aqui. Economia, privacidade e conforto. E vamos comparar isso com esses enchimentos aqui. A rede privativa. Então a primeira coisa que vocês têm em mente, a rede privativa é uma segmentação. Já é uma primeira partição, você está separando uma parte da rede para ser de uma empresa de telecomunicações. Em vez de ser tudo público. Provavelmente quando iniciou, ou melhor, o primeiro passo talvez tenha sido tudo público. A partir de um certo momento, fazer por isso. Não, espera aí, eu quero ler meus próprios meios. Então, já é a primeira segmentação. Agora, as razões básicas de segmentação são essas aqui. Então, por exemplo, economicidade, que eu falei antes. Otimização de tráfego, vendo de baixo para cima, né? Otimização de tráfego. Então, existe na questão, principalmente em redes privativas de dados, existe a questão de broadcast, de fazer um broadcast, por exemplo, você faz um broadcast para todas as estações avisando que o servidor tal está com problema, por exemplo. Então, para você, se você segmentar essa rede, vai ficar melhor, porque talvez nem todos precisem desse servidor. Então aí a ideia de otimizar o tráfego. Então por isso que a gente vai usar muito VLAN e recursos similares, tá? Uma outra separação é tráfego interurbano e o tráfego doméstico. Porque uma coisa, digamos, você tá gastando muito, isso é por efeito de economicidade também, diretamente, né? Você tá gastando muito pra fazer. Perguntando o preço de coisas que tem na tua cidade, você está perguntando em outras cidades. Obviamente que vai estar gastando à toa, porque vai ficar mais barato você perguntar na sua cidade. Separar assuntos ou áreas de interesse. Por exemplo, uma coisa é a parte de vendas, outra coisa é a parte de fazer propostas, terceiros. Uma outra coisa é a parte de finanças. São setores separados. Não há razão que estão penduradas na internet, por exemplo, têm acesso a todos os computadores, os rostos, que tratam todos os assuntos. Obviamente que isso não é produtivo, isso é contraproducente. Então, outra coisa, o assunto pessoal, o assunto corporativo, essa separação também é importante. Publicação confidencial, da regulamentada. O que eu quero dizer com isso? Vocês devem saber que, por exemplo, para você tomar preços de um fornecedor, para empresa pública, existe a portaria 8666. Mas mesmo as empresas privadas usam uma prática, uma boa prática, digamos, que é convocar dois ou três fornecedores do mesmo produto, comparar os preços desses três produtos, enfim, avaliar a transparência desse pedido que você está fazendo, para evitar que o cara vai no amiguinho dele e pede para o amiguinho dele para fornecer o produto e o preço que ele quiser. Então, essa comunicação tem que ser regulamentada. Então, é necessário separar isso da comunicação que é entre a diretoria, ou da diretoria com outra empresa, ou o mercado, sei lá. Então, esses são os critérios aí. Então, de novo, a gente vê que tá em reincide, só que tá expandindo aqui, claro, esses itens aqui de economicidade, privacidade... Alô? Eu não tô ouvindo, viu?

1:18:56 - Gabryel Nóbrega Não tô ouvindo, você pode ir.

1:18:59 - Loreno Tá ouvindo melhor agora? Agora sim. Tá, com o uso das...

1:19:05 - Gabryel Nóbrega com relação ao contexto das redes privativas e o uso dos protocolos que o senhor mencionou antes, o NBART, o Lora e os outros, eles são todos protocolos de software proprietários, o LoRa do LoRa e o NB-IT do 3GPP, etc. Tem algum protocolo desse que pode ser considerado open source em relação ao uso de faixa licenciada e esse tipo de coisa?

1:19:39 - Palestrante Não Identificado Sim.

1:19:39 - Gabryel Nóbrega Com relação à regulamentação, por exemplo, regulamentação da Europa, regulamentação no Brasil...

1:19:45 - Loreno Sim, voltando à questão do licenciamento. O Silphox usa frequência de 900 KHz, não é regulamentado. Nem o LoRa. Os outros são. Agora a questão de ser open source, não sei te informar. Posso verificar se eles são.

1:20:19 - Gabryel Nóbrega É do 3IPP e o LoRa é do LoRa mesmo.

1:20:24 - Loreno Mas esse que você não conhecia, não. Mas em relação também à redução de custos, para uma rede privativa de menor escala. Isso. Isso que é visualizado, principalmente. Eu vou ficar te devendo essa informação. Deixa eu botar aqui. Se o Lorde é proprietário ou não, né? Melhor se existe open source, né? Tá bem. Obrigado. Isso aí sempre é útil, né? Eu trabalho numa empresa que o pessoal só usava coisa open source, mas já faz muito, desde 2010 que eu parei de trabalhar lá. Bom. Lora é open source, ótimo.

1:21:17 - Antonio Carlos Ferreira de Almeida Isso, ele é aberto e tanto as empresas podem construir hardware baseado na especificação dele quanto software.

1:21:33 - Palestrante Não Identificado Entendi.

1:21:34 - Loreno Então é bem razoável.

1:21:40 - Gabryel Nóbrega O LoRa é proprietário da Semtec Corporation. Tem algumas implementações como o LoRaWAN, que são open source, mas o LoRa é proprietário.

1:21:53 - Loreno Entendi. Provavelmente que nem o Java também, né?

1:21:58 - Loreno Acredito que sim.

1:22:00 - Antonio Carlos Ferreira de Almeida Mas existe a LoRa Alliance, né? A LoRa Alliance é quem regulamenta todo o funcionamento do Lora. Então, além de existir as empresas que fabricam e tanto implementam software baseados nele, existe um comitê que regulamenta tudo isso, né?

1:22:25 - Loreno Então, esse comitê, ele diz que é a Daer. Entendi. Não, eu imagino que sim. Quem? Vamos passar para as técnicas de segmentação de rede. Existem três técnicas que a gente vai falar. E VPN. É uma segmentação na camada 2. É uma segmentação na camada 3, virtualizando o roteamento. A gente vai ver com detalhes isso aí. Então, ela permite que diferentes instâncias dão tabela de roteamento no mesmo nó. Então, dependendo da instância, se você está vindo de uma rede específica, você tem um roteamento. Se você está vindo de outra, você tem outro roteamento. Mas nós vamos ver com mais detalhe um pouquinho isso. As vilãs, uma coisa que eu comentaria, no fundo, O curso, eu percebi pela Pimenta, ele dá muita força para a Avelã. Por um motivo muito simples, a Avelã é estratégica, é ela que constitui a ferramenta mais útil, mais usada para segmentação de rede. E é feito logo lá na camada 2, logo no início.

1:23:58 - Palestrante Não Identificado Então ela é base, realmente.

