Redes Privativas | Turma 1 
sexta, 25/04/2025

0:07 - Carlos Batista Parece ter sido uma falha momentânea, que logo em seguida eu consegui, entendeu?
43:35 - Loreno Das 64 anunciadas, a maioria é autônoma. A gente pode ver isso aqui nos próximos slides. Vai aparecer, porque eu vou mostrar uma por uma. Mas o sentimento que eu tenho, de análise dos dados, é que a maioria é autônoma. Obrigado. Então, vamos falar um pouquinho de estatística. No site da Teleco tem 64 iniciativas, até 2024, que já foram anunciadas publicamente. Então, como é que eu vou dizer? Já são jogos fora do baralho, né? Já foram cantadas as jogadas. Agora, pode existir mais, pode ser que alguém esteja estudando e vão aparecendo. À medida que Telecom vai publicando. O dado internacional é que até 2024, essa Global Mobile Suppliers Association tinha contabilizado 1.603 empresas com custos superiores a 100 mil euros. Então, 600 mil reais. Tendo que 52% eram 4G. É natural, porque como eu falei para vocês, o mercado é 4G preponderantemente ainda. 25% é 5G e 20% é misturado, 4G e 5G. E é justamente aquela modalidade que o Core é 4G e o Rádio é 5G. Ok? Agora, a estatística GSA não inclui milhares de redes privativas que tem na China. E não inclui também redes que são de defesa ou são confidenciais, marítimas ou até militares, ou usinas de energia que não são visíveis no domínio público, não interessa mostrar. Então é bastante... Eu diria que tem mais, sem contar as da China, deve ter uma ordem de umas duas mil. Agora, se tem milhares na China, você tem que... Deve ter alguma coisa com cinco, seis milhares de redes. Bom, quais são as verticais, quais são as áreas que eles atuam? Então, indústria, agro, saúde, portos, mineração, setor elétrico, óleo e gás, ferrovias, governo. São essas as áreas onde estão se encaixando as redes privativas. Tá bom? Então nós vamos tentar passar a estatística de uma por uma aqui e tentar explorar um pouquinho. Eu estava querendo, na verdade, que vocês Pra que que usa isso dentro da indústria? Pra que que usa dentro do Águas? Não sei se vocês têm essa pergunta. Bom, na indústria, por exemplo, tá? Na indústria, se você instalar uma rede privativa, você pode ter três tipos de processos que usam. Então, os processos de produção, os processos empresariais, tipo... Esse tipo de CRT, essas coisas, esses aplicativos de processos empresariais. E para comunicação pessoal também. Se o cara quiser falar para fora ou falar com o outro, pode usar isso. E nos processos de produção, a maioria é missão crítica. Por exemplo, cadeia de produção. O armazém, o warehouse, ou até a logística para entregar isso. Então, por ser missão crítica, o aplicável aqui seria sistemas 4G e 5G mesmo. E aí, por default, você pode usar os processos empresariais e comunicação pessoal. Então, aqui é uma visão. Das iniciativas que já aconteceram no Brasil. Das 64, 18 são de indústria. Então, vocês podem ver que pega várias indústrias, vários segmentos aqui. Então, por exemplo, a indústria alimentícia. Tem a Nestlé, por exemplo. A Nestlé estava usando mais para fins de logística e para fins de comunicação corporativa. Então, na verdade, é mais para ostentar, na minha opinião. Sem querer criticar, mas os caras são ricos, eles fazem o que quiserem. Eu não tenho nada a ver com isso. A indústria de, por exemplo, a Intelbras, que é uma empresa que produz componentes, produz moldes, produz todos os switches, as coisas assim, né? São os equipamentos de telecomunicação. Então, a Intelbras, para produzir o setor de telecomunicações, ela usou, ela tá com esses fornecedores aqui. Aqui... Diga! Pode falar. Eu trabalho na Claro, e eu tive o privilégio de trabalhar nesses dois primeiros aqui, da Nestlé e da Gerdau.

49:46 - ANTONIO ADADE DE CASTRO BATISTA E eu queria contribuir, eu queria contribuir na aula, se o senhor deixar, na verdade, né? Explicando uma diferença entre os dois que eu acho que vai ser enriquecedor. A Nestlé, que eu acho que vai ser legal, a Nestlé ela comprou uma privativa lá na fábrica da KitKat, que era para fazer automação fabril mesmo, machine to machine, comunicação de máquina. Então ela queria automatizar a rede, a linha de produção da fabricação de chocolate. Isso, isso. E ela comprou tudo. Ela comprou rádio e ela comprou o core para ficar dedicado dentro da fábrica. Ou seja, tanto o control plane quanto o data plane ficava confinado ali na fábrica. Respondei na pergunta, acho que foi do Carlos, que ele falou sobre segurança. Isso, legal. E o terceiro aqui, que foi da Gerdau...

50:57 - Loreno Mas a Embratel não foi na jogada aí?

51:00 - ANTONIO ADADE DE CASTRO BATISTA É, claro, a Embratel é a mesma empresa, né? É só a marca que é diferente.

51:07 - Loreno Perdão, perdão. Mas o fornecedor acabou sendo a... Eu digo assim, o fabricante é a Ericsson, mas a Clara Embratel... Ah, não, não, não.

51:16 - ANTONIO ADADE DE CASTRO BATISTA O fabricante do core era a Ericsson, isso. O fabricante do Cora era a Ericsson pode falar a diferença é que na Gerdau não foi um Cora dedicado para Gerdau a Gerdau já tinha uma NodeB lá dentro e aí foi feito uma rede privativa em cima de uma rede ativa. Entendi. Fazendo uma segmentação da rede ativa, deixando uma fatia só para guardar. Esse que eu queria trazer para a nossa aula.

52:05 - Loreno Mas o que é da Claro? Nos dois casos, o que pertence à Claro? Tudo. Inclusive a rádio base e tudo?

52:16 - ANTONIO ADADE DE CASTRO BATISTA o fornecedor do Core era a Ericsson, compramos da Ericsson para instalar dentro do cliente a Gerdau era a Huawei, porque é a rede que já atende a localidade onde a Gerdau já estava e aí não foi colocado um Core dedicado para a Gerdau tinha uma estação rádio base dedicada para eles, né? Foi utilizado uma feature chamada slicing de rede, né? Então já tinha uma rede macro no local que cobria para todo mundo ali, né? E aí foi feito um PLMN exclusivo para Gerdau, com um APN exclusivo para Gerdau, com uma segmentação para eles, entendeu?

53:07 - Loreno Como é que você chama? Desculpe. Antônio, eu li em algum lugar que a Nestlé acabou não implementando a parte fabril. Implementou só a parte, ou seja, não melhorou o processo da fábrica. Ela usou mais para fim corporativo. Isso bate com essa informação? Eu li numa notícia, já faz algum tempo, Isso bate com o que você sabe ou não? Alô? Antônio? Alô, Antônio?

53:45 - Gabriel Theodoro Talvez você esteja respondendo, mas está no mudo, a gente não está te ouvindo. Eu estou no mudo?

53:56 - Loreno Antônio, está ouvindo a gente aí?

54:00 - Carlos Batista O Antônio ainda está no mudo.

54:05 - Clodoaldo Callogero Acho que ele saiu. Ele deve ter caído.

54:09 - Palestrante Não Identificado Tá bom.

54:11 - Loreno Estava tentando entender melhor essa situação, mas a notícia que eu tinha era essa, que a mestre não tinha. Se ele voltar, Antônio, se você voltar, deixa eu ver se tem, colocar no... No chat. Alguém pode colocar no chat?

54:39 - Clodoaldo Callogero Ele retornar com a pergunta.

54:45 - Loreno Acho que era Antônio Haddad o nome dele.

54:55 - Carlos Batista Foi um comentário O trabalho que ele fez agora, professor, ele dá o exemplo da rede provida pela operadora, né?

55:06 - Loreno Acrescentou muito para a nossa aula. As duas, dois casos. Mas o caso da Intelbras não é esse. Nem é o caso da 4, 5, que são da Nokia, nem o caso 7, por aí vai. Então, tem vários casos aí que foram implantados, alguns mais recentemente. A USMinas, por exemplo. Eu acho que a maioria aqui, pelo menos na indústria, parece que a maioria é mais dedicada, porque não tem provedor de serviços.

55:50 - Carlos Batista Parece, né?

55:54 - Loreno Ele vai entrar, eu acho. Ele deve ter caído. Tomara, né? Será que eu falei alguma coisa ofensiva? Não.

56:04 - Clodoaldo Callogero Acho que ele voltou agora, está falando. Voltei. Desculpe.

56:09 - Loreno Não, a pergunta que eu tinha deixado para você é a seguinte. Eu li em algum lugar que a Nestlé usou só para melhoria de conectividade. Não usou para fins de missão crítica, nem para automação da fábrica. Agora eu não sei se isso é verdade ou não, tá? Isso aí que eu li faz muito tempo, foi bem quando a gente fez o primeiro relatório. Pode ser que tenha mudado.

56:42 - ANTONIO ADADE DE CASTRO BATISTA Você tem informação sobre isso? Não, então, eles usaram para fazer os AVGs, né? AVGs, vigilância, vídeo-vigilância, AVGs, controle de qualidade das esteiras e também melhoria da cobertura, entendeu? Mas o ponto todo é que como a rede era dedicada para ele, CORE, RAM, eles tinham, eles tinham não, eles têm autonomia para fazer ali a modificação que eles entenderem, tá? Mas foi os dois casos, tanto M2M quanto mobilidade, da rede mesmo, né? Um caso legal é que eles colocaram o PABX em cima do celular, né? Então, onde tinha ramal passou a ser celular, né? Isso também é um caso de uso bem interessante. E eu não sei se eu não sei se pegou, se vocês, antes de eu cair, o da Gerdau foi utilizado uma rede pública, né? Uma rede convencional, foi feita uma partição da rede e usado o core, vamos sim, de produção da Claro mesmo, não foi um Core dedicado esse é dentro do caso que o Core é partilhado, é usado tanto pela Redis como... O Core é partilhado, exatamente, então a gente colocou lá um PLMN exclusivo para ele para não ter ali uma disputa ou uma utilização dos PRBs ali por parte de quem tem chip da Claro só quem tinha um chip Gear Down, inclusive, era um azulzinho lá, enfim, customizado para eles, né? E aí tinha um perfil elétrico que somente eles poderiam usar aquela partição, então não concorria com a rede macro, né? Foi um caso de uso bem interessante. E aí são duas formas de se fazer rede privativa, né? Acho que é legal trazer para os demais amigos aqui.

58:36 - Loreno Para o pessoal, é? São duas abordagens diferentes. Obrigado, professor. É interessante.

58:41 - Carlos Batista Obrigado a você por trazer esses casos concretos aí.

58:44 - Loreno Muito obrigado.

58:45 - ANTONIO ADADE DE CASTRO BATISTA Tem mais, tem muito mais casos, mas como esses dois aí são públicos, saiu até na BDI, enfim, é claro, ganhou um prêmio lá, então eu posso contar um pouco mais, mas tem mais casos.

59:00 - Loreno Esse da Gerdau ganhou um prêmio que eu até vou explorar a seguir aqui. Então, esse da Gerdau, O da Gerdau foi com a Claro.

59:14 - ANTONIO ADADE DE CASTRO BATISTA Então é o que acontece.

59:18 - Loreno Esse projeto aí, que eles chamam de WEG V2 Com, ele acabou ganhando um prêmio da ABD. Tem vários que ganharam prêmios. Eles dão três prêmios, primeiro, segundo, terceiro lugar, em cada área aqui. Então tem bastante prêmio, é só olhar o site da BDI lá que eles mostram bem. Mas o que eu queria mostrar aqui é que onde que eles estão usando a rede privativa, por quê? Então, um assunto é a IoT industrial, para injetoras e esteiras inteligentes. Então isso aí, realmente o que a fábrica precisa. Eu tinha entendido que a Nestlé não tinha feito isso, mas pode ser até que eu esteja enganado. E aí, em robótica, que são os carrinhos autônomos, robô logístico, e também o robô de inspeção dotado de realidade virtual. O robô que faz a inspeção dos itens, produzidos. E também dispositivos inteligentes, tipo sensores etc. Eu achei interessante isso. Aqui eu tenho alguns dados de novo, repetindo um pouco a questão do benchmark da operação. Primeiro eles fizeram um teste na fase 1, um teste de conectividade, e no teste de conectividade usando essa faixa 3.5 giga e operando com um canal de 100 MHz, no modo não-standalone, ou seja, com o núcleo 4G, mas o rádio 5G. E colocaram 5 celas e 8 celas 4G também, independentes. Tinha também uma rede privativa da Nokia, você falou Ericsson Nokia, né? E essa rede privativa, só que no modo standalone. E aí tiveram condições de comparar bem, claro que com menos células, né? Para comparar bem as coisas. E os parâmetros que eles mediram, qualidade de sinal, throughput máximo, throughput médio, latência, média, perda de pacotes, o throughput e latência em função do número de dispositivos que estão conectados e os dispositivos inteligentes. E tiveram bons resultados, como vocês podem ver aí. Para o throughput, eles conseguiram valores da ordem de 700 MB para o downlink e quando o valor máximo calculado seria 830. Então bastante próximo do valor máximo, 83%. E para a Tence eles conseguiram coisa da ordem de 27 milissegundos. E a perda de pacote foi baixíssima também, da ordem de 1,9%. E 0,2% por uplink. Bom, na fase, eles mostraram que foi bem superior ao Wi-Fi. O Wi-Fi estava na ordem de, não sei que versão de Wi-Fi que era essa, mas estava na ordem de 58 megabits, com 114, 14 milissegundos. Latência muito grande. Então, a conclusão deles é que se prestou para a IoT industrial e no relatório final deles, que está disponível, aparecem os andares, fotos dos andares, configurações, todo o detalhe que vocês precisarem pode ser explorado lá. Ok? Se vocês não conseguirem baixar, me avise que eu deixo para vocês. Bom, a nível internacional também tem várias iniciativas que estão colocadas aí, por exemplo, indústria automobilística, na China, de pneus, indústria de telecom da Ericsson também, cimento, metalúrgica. Então tem várias iniciativas aí onde eles usam a rede privativa com o foco que a gente comentou antes, a gente até não falou com calma, mas a missão crítica e no uso do IoT massivo, automação de operações e também melhoria da corretividade e centralização de informações. Agora vamos ver os casos de óleo e gás. Eles usam basicamente para monitoramento de equipamentos de forma remota. Esses equipamentos de óleo, gás, tanques de gás de óleo, por exemplo, eles têm uma série de válvulas, pressões, que eles têm que ficar monitorando. Então, esse controle remoto pode ser obtido através de sensores, transmissão direta para um lugar centralizado. As próprias podem ser monitoradas. A confecção de expressões rebotas, utilizando robôs ou veículos. Principalmente no caso de óleo, esses dutos de óleo. Existe uma empresa que tem óleo duto por toda a Amazônia e em Mato Grosso. Deixa eu ver se lembro qual é que é. Acho que essa é a origem. Desculpa, acho que é Neva. Então ela tem um manioduto enorme, precisa monitorar isso, óbvio. E também é usado para automatização de processos. Irrigação de áreas, se for o caso, telemetria, coisas desse tipo. Então essa é a aplicação básica de óleo e gás. E as iniciativas que existem aí são essas aí. E os objetivos é integrar as redes que operam, com sensores, temperatura, vibração, etc. E melhorar a eficiência da operação. Então tem bem menos de... Tem muito mais na indústria do que o oligarcas, né? Pelo menos declaradas, né? Na mineração, tá? Primeira coisa, a questão das minas subterrâneas. As minas subterrâneas frequentemente não deixam passar sinais de GPS nem de celular. Então isso o pessoal da Vale A gente fez entrevista, para fazer esse relatório aí, a gente fez entrevista com a maioria dessas empresas que estão citadas aí. E aí eles relataram isso para a gente, que tem muitas formas de comunicação e que daí eles passaram a implantar, a fazer implantação. Na medida que eles vão penetrando, por exemplo, solução subterrânea, eles vão fazendo implantação com rede maniada e conseguem ter uma admissão mais confiada. E também manter os trabalhadores sob controle. Os EPIs, você sabe o que é EPI, equipamento de proteção individual, eles usam EPIs inteligentes, por exemplo, um chip de localização sinalizador de segurança ou a visibilidade virtual ou então aumentada. O cara bota um óculos e ele vê melhor lá o que está acontecendo, porque ele tem a realidade virtual ajudando ele ou então a realidade aumentada. Em outro caso, é a mineração a céu aberto. Foi muito o caso da Vale também. Então os caminhões autônomos. O cara da Vale relatou pra gente que quando eles botaram a rede com 5G, tiveram um desempenho bem melhor dos caminhões autônomos. Mas aí a culpa não é tanto do 5G quanto do 4G. A culpa talvez é do caminhão que está melhor desenvolvido para a tecnologia 5G. Mas foi o caso que eles citaram. Então é aqui, né? Eu acho que eles estavam implantando, mas foi esse o caso. A gente conversou com eles em 22, por aí. Então aumenta a segurança, reduzir a força de trabalho, são as melhorias através da tomação, integrar redes existentes, Melhora a eficiência da operação. São os usos que a mineração foca. Ok? Agora os portes. Diga. Pergunta? Queria uma pergunta em relação à Nokia.

1:09:32 - Francis Como foi mencionada, claro, nesse ambiente nosso, digamos assim, tem a Nokia como...

1:09:42 - Palestrante Não Identificado como...

1:09:43 - Francis esse fornecedor.

1:09:44 - Francis Teria algum ponto, assim, principal que podia comentar? Essa capacidade da Nokia em tecnologia ou em alguma tecnologia específica para atuar nesses ambientes mais críticos?

1:10:01 - Loreno Não tenho nenhuma reserva, viu? A gente não viu nada que... Desfavorecesse a Nóquia. Mas o que a Vale reclamou é que os caminhões que estavam sendo usados anteriormente eram caminhões que dava muito problema, parava, não recebia o sinal, não conseguia impulsionar, porque esses caminhões são dirigidos, caminhões autodirigidos, certo? E aí ele comentou que mudando para 4G, acho que foi isso, automaticamente a tecnologia estava melhor. O que é desesperar, porque talvez o outro tivesse aquelado uma tecnologia mais antiga. Eu não comentei isso, então vale a pena comentar. Quando você fala que as redes privativas 4G e 5G estão se mostrando superior às demais, você não está se definindo só ao desempenho de telecomunicações da rede. Tem todo um entorno de sensores, dispositivos que são acionados e que são casados com a tecnologia. Então esses dispositivos nem sempre são únicos, nem sempre a resposta deles é boa com aquela tecnologia. Então assim, não adianta você... Às vezes o problema pode estar no dispositivo, entendeu? Não na tecnologia em si, 4G ou 5G. Mas o que a gente tem visto E a regra da evolução das coisas é que o dispositivo está melhor à medida que a tecnologia fica melhor. Em outras palavras, você não espera que um celular 5G seja pior que um celular 2G ou 3G. Com certeza esses antigos vão ser celulares que dão mais problemas, etc. Os casos de uso em portos. Então, tem dois casos famosos em portos aqui, que é o Porto de Santos e o Porto Suape. No caso do Porto de Santos, eles estão usando no terminal de containers. Então, onde estão os containers? Eles botam lá para aumentar a conectividade e eficiência operacional. Então, eles estão usando no transporte dos contêineres, na manipulação dos contêineres e na supervisão dos contêineres. Os próprios guindastes também, claro, tá? Guindastes, etc. E comentaram também que está sendo usada a mesma rede por funcionários, é claro. Incluindo ferramentas, etc. E o ponto do SWAP, que é no Recife, eles estão usando para o controle do pátio de veículos. Então, o que acontece? Lá é a questão da saída, tem tags. Ou seja, eles usam inteligência artificial para ler os tags presentes em cada carro. Então o carro só sai depois da leitura do tag. Esse sistema aí do Recife também é um empreendimento levado pela Secretaria Nacional os portos pela Nokia, pela rede AWS, a Cloud, né? Então ele tem uma rede 5G e câmeras inteligentes, ok? Aí os portos são esses casos que eles citaram aí, tá? Porque aqui não só tem portos, tem ferrovias também, né? E é o porto do Paranaguá atendido pela Trópico, CPQD. Uma foto interessante. Trópico e Sunwave também, ou seja, é proprietário. E os principais objetivos, então, é na logística, melhoria da continuidade, com velocidades maiores e também com maior capacidade fazer upload, download e ir para os sistemas de vigilância, que garante uma melhor cobertura. Além da centralização de informações e integração com o legado. A questão da saúde. A questão da saúde pode ser mas a gente fez entrevista em dois casos, no Hospital das Clínicas e no Hospital da USP, se não me engano. E eu achei meio, como é que eu vou dizer? Muito confete para pouco resultado, vamos colocar assim. Mas vamos descrever o caso aqui para vocês entenderem melhor. No Hospital das Clínicas, Ele tem os seguintes parceiros. A coisa é organizada pelo Deloitte, tá? E ele tem com parceiros Itaú Unibanco, Siemens, Siemens Health, né? Health News. NEC. Não entra aqui pra Telecom, entra como projetista, como integrador. Essa empresa, Telecom Infra Project, a BDI, o BID e a USP, além do Deloitte. Então é essa cambada de gente aí. E aí o que eles fizeram? Basicamente eles têm uma sala de ultrassom e tomografia, parece que uma é lá do lado da outra, inclusive, as duas fazem, mas são salas separadas, e eles querem ter esse controle em salas Então é o que está descrito aqui, né? Duas antenas 5G em ambientes distintos e usando OpenRAN. Alguém comentou comigo ontem do OpenRAN, daí eu uso do OpenRAN, tá? Eles, na verdade, tentaram inventar bastante nesse projeto. Feito num data center do Itaú. E os testes entregaram resultados bons. A latência em torno de 20 milissegundos e o throughput acima de 300 megabits por segundo. Sinceramente, eu acho um tiro de canhão para um resultado menor. Eu acho que é válido. Ele podia ter feito isso com um cabo de fibra ótica. Duas salas. Mas tá bom. Então, na saúde tem essas iniciativas aí. Tem essa do que eu citei aqui, do Deloitte, e tem do Hospital das... E tem da... Do Hospital Einstein Morumbi também. Esse hospital das clínicas aqui seria a tal... É outro hospital, não é esse mesmo aqui. E aí foi a iniciativa da Clara Erikson. E os objetivos... Esse aqui é da USP, na verdade, mas é considerado das clínicas também. A centralização das informações no prontuário médico, então assim, agilização do prontuário médico, evitar o sigilo sem passar os dados para os pacientes, maior robustez, maus serviços, etc, com laguna de banda. Então é por essa razão que eu, quer dizer, se for ou mesmo que for ponto a ponto, que é o caso aqui, eu acho que a solução melhor era usar uma fibra mesmo, tá? Mas eu acho que vale a iniciativa, vale o aprendizado que você vai ter com isso, sem dúvida. O setor elétrico. O setor elétrico, pessoal, aí eu vou começar do fim aqui. Eu não sei se vocês têm familiaridade com o setor elétrico, eles têm um problema de de automação, que são os religadores. Os religadores são como se fossem disjuntores automáticos que tentam se religar. Então, se cai o disjuntor lá porque deu uma sobretensão no circuito, ele fica tentando se religar. E aí, automaticamente, um outro religa. Existe toda uma troca de informações entre eles para saber quem que vai religar. Esse tipo de coisa. Então esses renegadores são cruciais. Os circuitos que eles ligam e desligam não é circuitinho de 220 volts, não. É circuitinho de 100 mil volts, de 13 quilovolts, de 50 quilovolts, 60 quilovolts, 130 quilovolts. Então claro que dá aquelas riscas enormes, etc. Aquelas coisas que a gente lê pela TV, né? Então, é um sistema que é essencial pra prestação de serviço e distribuição de energia. E eles têm um tempo curto. Parece que eles têm uma temporização aí de 0,5 mil segundos. Essa informação que eu tive lá atrás, quando a gente prestou um serviço pra Metropol. Então a coisa tem que ser ágil, tem que religar e tem que religar agora. E se você não tiver um sistema de telecomunicações que acione o religador, ele não vai religar. Vai ficar lá ou vai ficar dando tentativa falsa, tentativa de falha. Então realmente vai ser um problema. Então aqui um dos que foram premiados aí é esse LTE 250 mega em São Leopoldo, com a joga de energia que, na verdade, pertence ao grupo CPFL. E aí eles conseguiram monitorar, etc., os delegadores e subestações com muito mais... A Eletropol, para vocês terem uma ideia, ela tinha implantado aqui em toda a capital ali, toda a área metropolitana, não sei se está implantada ainda, mas em 2016, Ela até 2016 implantou esses religadores com WiMAX. Então a tecnologia é WiMAX. Eu não sei se vocês já viram, em São Paulo, vocês vão em São Paulo, né? Tem umas torrezinhas de uns 12 metros de altura, mais ou menos, e lá na ponta da torre tem uma antena. E a torre não é torre, desculpe, eu falei torre, mas é um poste. Um poste de... De concreto que é pregado no solo. Um lugar que tem, por exemplo, que eu fui no local da instalação, é ali no Rodoanel, na altura, eu acho, de indo entre São Paulo e Osasco, mais ou menos. Tem uma decidona assim, desculpe, entre São Paulo e Barueri. Aliás, é em Barueri já. Tem uma estaçãozinha dessa que foi colocada lá direito, assim, de quem desce pro litoral. Então são essas torrezinhas e eles implantaram com o IMAX. Não sei se eles ligaram isso ou não. Uma coisa que tem que ver. E o IMAX resolvia também o problema, mas claro que a solução com 4G e 5G é muito mais ilegal. E muito mais abrangente. Bom, então o setor elétrico tem essas iniciativas aí, do Espírito Santo, do Cala, da Neo Energia, CPFL, várias iniciativas aí, sete iniciativas. E o objetivo da aplicação é estender a plataforma de coletividade para a automação, É o caso dos religadores e a facilidade que isso traz. E algumas empresas estão aguardando uma definição da TEL, da faixa de frequência, etc., para implantar suas redes, mas a maioria não. Algumas já estão entrando no business com... Aqui vocês estão vendo que não tem nenhuma... Essa aqui é com a Claro, a Itaipu. O resto é tudo proprietário. Vamos falar um pouquinho do agronegócio. No agronegócio também o objetivo é a zona rural, tem uma baixa conectividade e você demora a coletar os dados, tipo sensores de umidade, sensores de temperatura, os mais diversos que possa haver na fazenda ou onde for necessário. Então você precisa ter uma automação para isso daí. E os desafios aí são cobrir a área com rua da Larga e de preferência utilizando a infraestrutura existente. Geralmente tem umas torres já templadas e não quer colocar uma torre nova, mas se são áreas bem extensas, da ordem de hectares, etc. E aí o objetivo é colhedoras de cana, tratores, tudo quanto é veículo que for necessário ser conectado e até ser controlado, se for necessário. Além de monitorar a operação, e transmitir dados para utilização de custos com combustível e insumos. As iniciativas do agronegócio são essas daí, né? Tem essa SEMIARCHO, que é o Cepiquedeia Trópico, a Usina Coruripe, que é da Furukawa, São Martinho, Tim Erikson. Repara que a grande maioria... Aqui tem a Tim, São Martinho. Fazendo o Macuco, que daí... Essas fazendas Fervin, que é a Grotau, que são da Nokia, e são todas proprietárias também. Então tem várias iniciativas aí nessa linha. As usinas. Qual é o objetivo das usinas? Professor, por favor, recorda...

1:26:32 - Clodoaldo Callogero O Clodoaldo, você levantou primeiro, né? Você está no mudo, não sei se você estava falando, mas não dava para eu ouvir.

1:26:41 - Clodoaldo Callogero Pode falar, Gabriel. A criançada tem prioridade.

1:26:44 - 2Gabriel Theodoro Pô, meu querido, obrigado, viu? Professor, eu estava observando que há poucas operadoras no agronegócio. São mais fornecedores industriais. O que é que leva a acontecer isso? Por exemplo, a gente tem em São Martins, tem a TIM, tem a Claro ali na empresa Mato Grosso, e o resto é indústria.

1:27:07 - Loreno Tem a TIM, São Martins e o resto é indústria. Olha, eu acredito que seja a questão do pensamento do agronegócio, que é um pensamento voltado a ser dono do recurso que ele Porque assim, eles não geram opecs para a empresa.

1:27:30 - Gabriel Theodoro Basicamente para a operadora que tem o serviço recorrente, é vantajoso fazer isso.

1:27:36 - Loreno Não, e não tem empresa que entra na área deles também, entendeu? A grande maioria, ela não atinge a área deles, fica longe. São áreas mais rurais. E aí a empresa fala, não, para eu atender você, vou ter que botar uma infraestrutura. Fazendo por eles mesmos.

1:27:57 - Gabriel Theodoro Clodoaldo, obrigado, meu querido.

1:28:00 - Loreno Eu presenciei uma discussão uma vez, acho que foi até com a TIM, viu? Com a TIM para implantar um sistema, em Brumadinho, para implantar um sistema de fibra ou então um sistema de de telefonia em Brumadinho que cobrisse bem o município, depois da tragédia que houve lá em Brumadinho. Então o pessoal da prefeitura estava conversando, eu presenciei essa reunião com a TIM, tentando ver se conseguia negociar uma cobertura, porque a cobertura era fraca. Agora, hoje em dia, já melhorou bastante. A Tim, principalmente, tinha uma cobertura bem fraca lá em Brumadinho. Aí os caras da Tim falam assim, ó, meu filho, você sabe o quanto custa isso? Eu tenho que fazer um plano de projeto pra isso. Eu vou ter que levar isso pra bancada. Isso aí vai demorar pelo menos seis meses ou um ano pra eu te dar qualquer resposta, se é viável ou não. Imagina pra fazer. Entendeu então? Mas eles têm razão. É um timing diferente do cara que está na fazenda, que quer usar a próxima colheita. Entendeu? Faz sentido, né?

1:29:30 - ANTONIO ADADE DE CASTRO BATISTA Professor, eu tenho uma dúvida aí nesse contexto. Quem detém a frequência, o espectro, são as operadoras. Então, por exemplo, a Nokia não tem espectro. Eu consigo entender no 5G que você consegue usar o SLP, que a Anatel destinou lá, uma faixa de 3.7 para quem quiser usar. Deixa eu te falar duas coisas.

1:30:01 - Loreno É que você está partindo de uma premissa que não está correta. Quem detém o recurso E aí ela tem dois tipos de recursos que ela considera recursos estratégicos. Frequências e numeração. Então é a Anatel que pode atribuir essas coisas. Você não começa um número novo se a Anatel não autorizar. E da mesma forma a frequência. Só que a Anatel, a gente vai ver isso lá para o fim do curso, nas últimas aulas. A Natel não tem só as empresas operadoras. Ela tem as empresas de prestação de serviços de mídia, por exemplo, rádios, televisões. Ela tem empresas de pesquisa que usam frequências. Ela tem uma série de clientes para essas empresas de frequências. A maioria das cidades aqui, eu acho que não é o caso de São Paulo, mas uma boa parte das cidades, a sua prefeitura está aderindo a ter uma rede corporativa para atender os diversos hospitais, postos de saúde, filiais. Da própria prefeitura. Não tem muitas prefeituras que tem isso. E aí o que acontece? Ela está subscrevendo frequências. Está pedindo frequências para a Anatel, a Anatel concedendo, e aí tem até briga, porque às vezes a frequência que a Anatel está concedendo, uma rádio queria usar, ou uma TV queria usar, ou a própria prestadora queria usar. Então isso aí é uma... Uma guerra bem intensa, né? E a Anatel que regerencia isso. O que nós estamos comentando é assim, imagina que você queira implantar uma rede 4G numa empresa dessas aí, tá? A pessoa que tiver a empresa lá, o fazendeiro, vai ter que arranjar essa frequência. Aí ele pode chegar e dizer para os fabricantes Não, faz você isso. Mais prático para você. Mas vai fazer em nome da empresa, tá?

1:32:37 - ANTONIO ADADE DE CASTRO BATISTA Entendeu? Desculpa, professor, eu me excedi. O senhor está correto. A frequência é da Anatel.

1:32:46 - Loreno Mas tem contato do 4G? Tem. Mesma coisa. Só que as frequências do 4G já foram... Todas utilizadas. Todas leiloadas, exatamente.

1:32:58 - ANTONIO ADADE DE CASTRO BATISTA Como que a Nokia vai chegar lá e vai usar um 700 MHz, que é o mais, vamos dizer assim, é o filé mignon para o agro, numa região que não tem uma cobertura...

1:33:11 - Loreno Não, então, mas aí é que está o problema. Se a Nokia está usando em uma área privada, ela vai usar... Ela licencia para ela usar, não para... Entendeu? Aqui, olha. Não sei se você lembra disso aqui. Olha que o Lud foi bastante feliz com essa propriedade. Essa aqui, olha. Entendeu? E se ela quiser fazer autônoma, ela vai fazer. Ela vai licenciar e aí ela não usa nada da empresa. Não vai usar a rádio base da empresa. Mas vai ter que usar a rádio base. Você tem que desenvolver uma rádio base, o que alguém vai fazer para ela, ou CPQD ou a NOC. Estamos na mesma página?

1:34:03 - ANTONIO ADADE DE CASTRO BATISTA Não, estamos, professor, sim, sim, obrigado pela explicação exata.

1:34:07 - Loreno A questão é a seguinte, agora vamos supor que você quisesse fazer, pegar um exemplo aqui, você quisesse fazer uma empresa privativa na marginal, Vaginal Pinheiros, por exemplo. Isso aí vai ser bem complicado, porque as frequências ali não estão abertas. A Matel não vai te conceder uma frequência que as empresas operadoras estejam usando. Entendeu?

